FEATURE,VOCAB_SIZE,COLOUR_SPACE,CLASSIFIER, k/Lambda,accuracy
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 2, 0.416000 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 3, 0.440000 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 4, 0.460667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 5, 0.472667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 6, 0.478000 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 7, 0.475333 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 8, 0.484667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 9, 0.480000 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 10, 0.478667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 11, 0.477333 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 12, 0.477333 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 13, 0.472667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 14, 0.470667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 15, 0.472000 
spatial pyramids, 30, RGB, support vector machine, 10.000000, 0.473333 
spatial pyramids, 30, RGB, support vector machine, 1.000000, 0.464000 
spatial pyramids, 30, RGB, support vector machine, 0.100000, 0.468667 
spatial pyramids, 30, RGB, support vector machine, 0.010000, 0.490667 
spatial pyramids, 30, RGB, support vector machine, 0.001000, 0.471333 
spatial pyramids, 30, RGB, support vector machine, 0.000100, 0.409333 
spatial pyramids, 30, RGB, support vector machine, 0.000010, 0.456000 
spatial pyramids, 30, RGB, nearest neighbor, 1, 0.431333 
spatial pyramids, 30, RGB, nearest neighbor, 2, 0.416667 
spatial pyramids, 30, RGB, nearest neighbor, 3, 0.429333 
spatial pyramids, 30, RGB, nearest neighbor, 4, 0.456000 
spatial pyramids, 30, RGB, nearest neighbor, 5, 0.464000 
spatial pyramids, 30, RGB, nearest neighbor, 6, 0.461333 
spatial pyramids, 30, RGB, nearest neighbor, 7, 0.476000 
spatial pyramids, 30, RGB, nearest neighbor, 8, 0.466667 
spatial pyramids, 30, RGB, nearest neighbor, 9, 0.472000 
spatial pyramids, 30, RGB, nearest neighbor, 10, 0.473333 
spatial pyramids, 30, RGB, nearest neighbor, 11, 0.470667 
spatial pyramids, 30, RGB, nearest neighbor, 12, 0.478667 
spatial pyramids, 30, RGB, nearest neighbor, 13, 0.480000 
spatial pyramids, 30, RGB, nearest neighbor, 14, 0.481333 
spatial pyramids, 30, RGB, nearest neighbor, 15, 0.479333 
spatial pyramids, 50, GRAYSCALE, support vector machine, 10.000000, 0.510000 
spatial pyramids, 50, GRAYSCALE, support vector machine, 1.000000, 0.507333 
spatial pyramids, 50, GRAYSCALE, support vector machine, 0.100000, 0.496000 
spatial pyramids, 50, GRAYSCALE, support vector machine, 0.010000, 0.497333 
spatial pyramids, 50, GRAYSCALE, support vector machine, 0.001000, 0.510667 
spatial pyramids, 50, GRAYSCALE, support vector machine, 0.000100, 0.516000 
spatial pyramids, 50, GRAYSCALE, support vector machine, 0.000010, 0.520667 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 1, 0.453333 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 2, 0.430667 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 3, 0.452000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 4, 0.460000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 5, 0.467333 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 6, 0.466000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 7, 0.476000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 8, 0.472000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 9, 0.470667 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 10, 0.474000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 11, 0.478000 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 12, 0.476667 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 13, 0.470667 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 14, 0.469333 
spatial pyramids, 50, GRAYSCALE, nearest neighbor, 15, 0.477333 
spatial pyramids, 50, RGB, support vector machine, 10.000000, 0.510667 
spatial pyramids, 50, RGB, support vector machine, 1.000000, 0.510000 
spatial pyramids, 50, RGB, support vector machine, 0.100000, 0.482000 
spatial pyramids, 50, RGB, support vector machine, 0.010000, 0.478000 
spatial pyramids, 50, RGB, support vector machine, 0.001000, 0.504000 
spatial pyramids, 50, RGB, support vector machine, 0.000100, 0.494667 
spatial pyramids, 50, RGB, support vector machine, 0.000010, 0.483333 
spatial pyramids, 50, RGB, nearest neighbor, 1, 0.433333 
spatial pyramids, 50, RGB, nearest neighbor, 2, 0.422667 
spatial pyramids, 50, RGB, nearest neighbor, 3, 0.442667 
spatial pyramids, 50, RGB, nearest neighbor, 4, 0.466667 
spatial pyramids, 50, RGB, nearest neighbor, 5, 0.468000 
spatial pyramids, 50, RGB, nearest neighbor, 6, 0.473333 
spatial pyramids, 50, RGB, nearest neighbor, 7, 0.482667 
spatial pyramids, 50, RGB, nearest neighbor, 8, 0.474667 
spatial pyramids, 50, RGB, nearest neighbor, 9, 0.474667 
spatial pyramids, 50, RGB, nearest neighbor, 10, 0.468667 
spatial pyramids, 50, RGB, nearest neighbor, 11, 0.468000 
spatial pyramids, 50, RGB, nearest neighbor, 12, 0.474000 
spatial pyramids, 50, RGB, nearest neighbor, 13, 0.469333 
spatial pyramids, 50, RGB, nearest neighbor, 14, 0.470667 
spatial pyramids, 50, RGB, nearest neighbor, 15, 0.468667 
spatial pyramids, 100, GRAYSCALE, support vector machine, 10.000000, 0.528000 
spatial pyramids, 100, GRAYSCALE, support vector machine, 1.000000, 0.535333 
spatial pyramids, 100, GRAYSCALE, support vector machine, 0.100000, 0.522000 
spatial pyramids, 100, GRAYSCALE, support vector machine, 0.010000, 0.528667 
spatial pyramids, 100, GRAYSCALE, support vector machine, 0.001000, 0.536000 
spatial pyramids, 100, GRAYSCALE, support vector machine, 0.000100, 0.532667 
spatial pyramids, 100, GRAYSCALE, support vector machine, 0.000010, 0.519333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 1, 0.449333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 2, 0.427333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 3, 0.448000 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 4, 0.459333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 5, 0.461333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 6, 0.475333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 7, 0.470667 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 8, 0.464000 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 9, 0.466667 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 10, 0.464000 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 11, 0.460000 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 12, 0.456667 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 13, 0.460000 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 14, 0.455333 
spatial pyramids, 100, GRAYSCALE, nearest neighbor, 15, 0.452667 
spatial pyramids, 100, RGB, support vector machine, 10.000000, 0.556667 
spatial pyramids, 100, RGB, support vector machine, 1.000000, 0.522000 
spatial pyramids, 100, RGB, support vector machine, 0.100000, 0.518000 
spatial pyramids, 100, RGB, support vector machine, 0.010000, 0.528000 
spatial pyramids, 100, RGB, support vector machine, 0.001000, 0.536000 
spatial pyramids, 100, RGB, support vector machine, 0.000100, 0.564667 
spatial pyramids, 100, RGB, support vector machine, 0.000010, 0.519333 
spatial pyramids, 100, RGB, nearest neighbor, 1, 0.466000 
spatial pyramids, 100, RGB, nearest neighbor, 2, 0.444000 
spatial pyramids, 100, RGB, nearest neighbor, 3, 0.466667 
spatial pyramids, 100, RGB, nearest neighbor, 4, 0.491333 
spatial pyramids, 100, RGB, nearest neighbor, 5, 0.492667 
spatial pyramids, 100, RGB, nearest neighbor, 6, 0.478000 
spatial pyramids, 100, RGB, nearest neighbor, 7, 0.480667 
spatial pyramids, 100, RGB, nearest neighbor, 8, 0.474000 
spatial pyramids, 100, RGB, nearest neighbor, 9, 0.463333 
spatial pyramids, 100, RGB, nearest neighbor, 10, 0.464000 
spatial pyramids, 100, RGB, nearest neighbor, 11, 0.464000 
spatial pyramids, 100, RGB, nearest neighbor, 12, 0.467333 
spatial pyramids, 100, RGB, nearest neighbor, 13, 0.465333 
spatial pyramids, 100, RGB, nearest neighbor, 14, 0.473333 
spatial pyramids, 100, RGB, nearest neighbor, 15, 0.469333 
spatial pyramids, 200, GRAYSCALE, support vector machine, 10.000000, 0.569333 
spatial pyramids, 200, GRAYSCALE, support vector machine, 1.000000, 0.564667 
spatial pyramids, 200, GRAYSCALE, support vector machine, 0.100000, 0.541333 
spatial pyramids, 200, GRAYSCALE, support vector machine, 0.010000, 0.523333 
spatial pyramids, 200, GRAYSCALE, support vector machine, 0.001000, 0.530000 
spatial pyramids, 200, GRAYSCALE, support vector machine, 0.000100, 0.582667 
spatial pyramids, 200, GRAYSCALE, support vector machine, 0.000010, 0.576667 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 1, 0.444667 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 2, 0.420000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 3, 0.438000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 4, 0.430000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 5, 0.439333 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 6, 0.437333 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 7, 0.438667 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 8, 0.442667 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 9, 0.438000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 10, 0.438000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 11, 0.440667 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 12, 0.438000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 13, 0.434667 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 14, 0.428000 
spatial pyramids, 200, GRAYSCALE, nearest neighbor, 15, 0.426000 
spatial pyramids, 200, RGB, support vector machine, 10.000000, 0.566000 
spatial pyramids, 200, RGB, support vector machine, 1.000000, 0.553333 
spatial pyramids, 200, RGB, support vector machine, 0.100000, 0.578000 
spatial pyramids, 200, RGB, support vector machine, 0.010000, 0.549333 
spatial pyramids, 200, RGB, support vector machine, 0.001000, 0.564000 
spatial pyramids, 200, RGB, support vector machine, 0.000100, 0.532000 
spatial pyramids, 200, RGB, support vector machine, 0.000010, 0.572667 
spatial pyramids, 200, RGB, nearest neighbor, 1, 0.434667 
spatial pyramids, 200, RGB, nearest neighbor, 2, 0.430000 
spatial pyramids, 200, RGB, nearest neighbor, 3, 0.431333 
spatial pyramids, 200, RGB, nearest neighbor, 4, 0.432000 
spatial pyramids, 200, RGB, nearest neighbor, 5, 0.421333 
spatial pyramids, 200, RGB, nearest neighbor, 6, 0.434667 
spatial pyramids, 200, RGB, nearest neighbor, 7, 0.432000 
spatial pyramids, 200, RGB, nearest neighbor, 8, 0.436667 
spatial pyramids, 200, RGB, nearest neighbor, 9, 0.443333 
spatial pyramids, 200, RGB, nearest neighbor, 10, 0.438000 
spatial pyramids, 200, RGB, nearest neighbor, 11, 0.438000 
spatial pyramids, 200, RGB, nearest neighbor, 12, 0.436667 
spatial pyramids, 200, RGB, nearest neighbor, 13, 0.431333 
spatial pyramids, 200, RGB, nearest neighbor, 14, 0.428000 
spatial pyramids, 200, RGB, nearest neighbor, 15, 0.422000 
spatial pyramids, 400, GRAYSCALE, support vector machine, 10.000000, 0.601333 
spatial pyramids, 400, GRAYSCALE, support vector machine, 1.000000, 0.596000 
spatial pyramids, 400, GRAYSCALE, support vector machine, 0.100000, 0.586000 
spatial pyramids, 400, GRAYSCALE, support vector machine, 0.010000, 0.586000 
spatial pyramids, 400, GRAYSCALE, support vector machine, 0.001000, 0.614000 
spatial pyramids, 400, GRAYSCALE, support vector machine, 0.000100, 0.584667 
spatial pyramids, 400, GRAYSCALE, support vector machine, 0.000010, 0.586000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 1, 0.432667 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 2, 0.430667 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 3, 0.415333 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 4, 0.428667 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 5, 0.422000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 6, 0.415333 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 7, 0.408000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 8, 0.404000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 9, 0.406000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 10, 0.410000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 11, 0.405333 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 12, 0.400000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 13, 0.394667 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 14, 0.390000 
spatial pyramids, 400, GRAYSCALE, nearest neighbor, 15, 0.385333 
spatial pyramids, 400, RGB, support vector machine, 10.000000, 0.580667 
spatial pyramids, 400, RGB, support vector machine, 1.000000, 0.586667 
spatial pyramids, 400, RGB, support vector machine, 0.100000, 0.573333 
spatial pyramids, 400, RGB, support vector machine, 0.010000, 0.587333 
spatial pyramids, 400, RGB, support vector machine, 0.001000, 0.568667 
spatial pyramids, 400, RGB, support vector machine, 0.000100, 0.568667 
spatial pyramids, 400, RGB, support vector machine, 0.000010, 0.556667 
spatial pyramids, 400, RGB, nearest neighbor, 1, 0.422667 
spatial pyramids, 400, RGB, nearest neighbor, 2, 0.420667 
spatial pyramids, 400, RGB, nearest neighbor, 3, 0.411333 
spatial pyramids, 400, RGB, nearest neighbor, 4, 0.414000 
spatial pyramids, 400, RGB, nearest neighbor, 5, 0.400000 
spatial pyramids, 400, RGB, nearest neighbor, 6, 0.406000 
spatial pyramids, 400, RGB, nearest neighbor, 7, 0.397333 
spatial pyramids, 400, RGB, nearest neighbor, 8, 0.398667 
spatial pyramids, 400, RGB, nearest neighbor, 9, 0.391333 
spatial pyramids, 400, RGB, nearest neighbor, 10, 0.397333 
spatial pyramids, 400, RGB, nearest neighbor, 11, 0.385333 
spatial pyramids, 400, RGB, nearest neighbor, 12, 0.383333 
spatial pyramids, 400, RGB, nearest neighbor, 13, 0.378667 
spatial pyramids, 400, RGB, nearest neighbor, 14, 0.377333 
spatial pyramids, 400, RGB, nearest neighbor, 15, 0.369333 
